Estimate,CIlow,CIhigh,pval,pattern,plotcol
0.0163253701229405,-0.00283608303429428,0.0354748394959535,0.0949402979956358,Pattern_1,black
0.25225443110116,0.234225958229978,0.270109466857957,1.33636544798129e-151,Pattern_2,red
0.00599670933765636,-0.0131653693888424,0.0251543851111361,0.539639791406378,Pattern_3,black
0.359895951333967,0.343101347059764,0.376460517105234,1.58721750746634e-317,Pattern_4,red
-0.158941120160043,-0.177560941764729,-0.140207542444852,3.64114564483733e-60,Pattern_5,red
0.00952444804070677,-0.00963787683322145,0.0286797801792059,0.329958891272505,Pattern_6,black
-0.39966231828681,-0.415640014395799,-0.383438027209647,1.58721750746634e-317,Pattern_7,red
0.0476457479678481,0.0285112103867545,0.0667453808291953,1.08233100644821e-06,Pattern_8,red
-0.0346014668331116,-0.0537264131185207,-0.0154511446690025,0.000399901119458247,Pattern_9,red
0.059211549843071,0.0400964743471917,0.0782833013599165,1.34804999650344e-09,Pattern_10,red
-0.225075467215812,-0.243187270296056,-0.20680677056198,2.72160965860009e-120,Pattern_11,red
0.250063369682564,0.232014467503893,0.267940139189277,6.28648450684152e-149,Pattern_12,red
0.184427276497344,0.165852789621683,0.202870951147784,1.02073528909219e-80,Pattern_13,red
-0.384095256370081,-0.400309749785745,-0.367640332952357,1.58721750746634e-317,Pattern_14,red
-0.141978271286738,-0.160701667057398,-0.123152727981476,2.98954229771603e-48,Pattern_15,red
0.468207234179555,0.453111584573425,0.483034442368663,1.58721750746634e-317,Pattern_16,red
0.0488326282190851,0.0296998511845027,0.0679296351435404,5.80317801055507e-07,Pattern_17,red
0.546432908923071,0.532851276492358,0.55973308974145,1.58721750746634e-317,Pattern_18,red
0.129141148891493,0.110253395803524,0.147935660324339,3.72773436802747e-40,Pattern_19,red
-0.134988586516517,-0.153751480832349,-0.116128381645191,9.57982293205476e-44,Pattern_20,red
0.133262879263979,0.114394407029174,0.152035239690404,1.14240762838068e-42,Pattern_21,red
