Estimate,CIlow,CIhigh,pval,pattern,plotcol
-0.451022250450349,-0.520036099675922,-0.376157645933554,4.43468429479667e-25,Pattern_1,red
0.382762461625433,0.303060239716315,0.457147113865432,5.95188892580258e-18,Pattern_2,red
-0.456630011534557,-0.525169583711117,-0.382204544441849,9.68256902750281e-26,Pattern_3,red
0.362203224932658,0.281226214408266,0.438058627378505,4.14018078331022e-16,Pattern_4,red
-0.286780010748408,-0.367440243219685,-0.201837907675111,2.0909591534609e-10,Pattern_5,red
-0.214944324690224,-0.299304818350508,-0.127249472012377,2.38627043923508e-06,Pattern_6,red
-0.581252740207736,-0.637979509278199,-0.518251471739366,4.30078453438784e-44,Pattern_7,red
-0.234275721446784,-0.317725455897053,-0.147224580855515,2.55571249460522e-07,Pattern_8,red
0.112427112393966,0.0224942328178255,0.200555073124805,0.0144283136528349,Pattern_9,red
-0.136634048063688,-0.224035042682404,-0.0470528007486398,0.00290412395858035,Pattern_10,red
-0.129668460063348,-0.217289021876023,-0.039974914741077,0.00473433938094913,Pattern_11,red
0.474582607893259,0.401605948153242,0.541570359581979,6.111607709469e-28,Pattern_12,red
0.230321399140141,0.143132799407148,0.313962551147944,4.1023067621743e-07,Pattern_13,red
-0.505297307384737,-0.569512325704646,-0.434951981295273,5.09493586982983e-32,Pattern_14,red
-0.251984917987019,-0.334545216266203,-0.165586004069228,2.76488054797158e-08,Pattern_15,red
0.499237974086044,0.428358231066573,0.564011717433921,3.50655152713681e-31,Pattern_16,red
0.46494494096517,0.391182353973017,0.532772106612131,9.62248143302019e-27,Pattern_17,red
0.725552350186141,0.679865867198037,0.765628543532665,1.80926063257178e-78,Pattern_18,red
-0.0651927584196758,-0.154445843891067,0.0251157609534252,0.15689161130343,Pattern_19,black
-0.472840566994104,-0.539981131412511,-0.399720447271961,1.01243016798133e-27,Pattern_20,red
0.108834120969768,0.01885827632777,0.197061333582268,0.0178961426674079,Pattern_21,red
