Estimate,CIlow,CIhigh,pval,pattern,plotcol
-0.0057780671383066,-0.0249358724830202,0.0133839806370789,0.554524334544522,Pattern_1,black
0.25124903114259,0.233211160825543,0.269114062247979,2.26729473192306e-150,Pattern_2,red
-0.0611083925732279,-0.0801750838823039,-0.0419969996375719,3.94715215813401e-10,Pattern_3,red
0.177388539550213,0.158767603150649,0.195883324629645,1.01669642545107e-74,Pattern_4,red
-0.078014684897744,-0.0970302096257429,-0.0589422260416154,1.33156890080423e-15,Pattern_5,red
-0.11040147035544,-0.129288545249572,-0.0914343203502082,9.68240358630957e-30,Pattern_6,red
-0.339087918000189,-0.355935926859299,-0.322019550494624,7.43871610352923e-280,Pattern_7,red
0.0354152450797566,0.0162657165859446,0.0545388023706934,0.000290688084891505,Pattern_8,red
-0.0634200775429573,-0.0824804162833252,-0.0443133595470129,8.40119866810304e-11,Pattern_9,red
0.0578513292495331,0.0387336981467733,0.0769266248598231,3.17896627912541e-09,Pattern_10,red
-0.124888084305883,-0.143704775378302,-0.10598112331111,1.20373791304413e-37,Pattern_11,red
0.275973813667864,0.258178447378512,0.293581972683577,3.04518872486849e-182,Pattern_12,red
0.00156016927739624,-0.0176009229007897,0.0207201158969314,0.87321468321769,Pattern_13,black
-0.269629637515616,-0.287305907532727,-0.251769778743199,9.76471020910358e-174,Pattern_14,red
-0.0755565795848601,-0.094580221173558,-0.0564777768271867,1.00121327394245e-14,Pattern_15,red
0.312839044198619,0.295449453361176,0.330021404772811,2.5916544740338e-236,Pattern_16,red
0.021219370027653,0.00205964140563492,0.0403635252427245,0.0299619652686247,Pattern_17,red
0.4231606872564,0.407302529445886,0.438763757483917,0,Pattern_18,red
0.120329423514969,0.101402649400523,0.139169124006047,4.72945623072763e-35,Pattern_19,red
0.0537432605122476,0.0346183427744081,0.0728288309505491,3.77824402328331e-08,Pattern_20,red
0.0945970532216044,0.0755734666090675,0.113551802843255,3.09651000080076e-22,Pattern_21,red
