Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FR-A3YO-06A-11R-A239-07	0.000820782143203414	0.00525437546696568	0.0013096890880165	0	0	0	0	0.0330535141096357	0.0623976220496094	0.0194550368214611	0.0509093895090265	0	0.00130734760992455	0.66189724649445	0	0.0644018284452988	0	0	0	0.0991931682624085	0	0	0	0.543357119514577	0.858580620726201
TCGA-DA-A1I8-06A-11R-A18T-07	0	0.017338844716345	0.0476696619838151	0	0	0.031273290676272	0.00580172301933233	0.00919125187870359	0.0503441327064395	0.026642636029478	0.0456750822207824	0	0	0.571226239556978	0.00144976394936267	0.150439264142004	0	0	0	0.0429481091204874	0	0	0	0.782355625364398	0.635447643543132
TCGA-GF-A6C8-06A-12R-A311-07	0.0325584462864682	0	0.0236458138355729	0.120648252502764	0	0.0381847307048937	0.0478082117758972	0.0892770910624748	0.0557940955303806	0	0.122768945079947	0.00633367230608634	0.0287987901882783	0.174310569582507	0.103406028925135	0.140670082823587	0	0	0.0157952693960087	0	0	0	0	0.645909958023022	0.78595634136784
TCGA-DA-A1IC-06A-11R-A18S-07	0.0726908005965421	0	0	0.136098475096038	0	0.0399177408398447	0	0.062761972027581	0.0746300135679413	0	0.0787117020925273	0	0	0.145398469490355	0.064951046002538	0.184954472256848	0.00542367898911432	0	0.134461629040671	0	0	0	0	0.393243379522649	0.919027805959236
TCGA-BF-AAOX-01A-11R-A39D-07	0	0.0693424143037613	0.0195411299738023	0.119167607778898	0	0	0	0.137591220229418	0.0625279191127421	0	0.0646081566118648	0.00264935697895518	0	0.341887633056682	0.0104827172384364	0.0990582521361441	0	0.0201557168564753	0	0.0529878757228204	0	0	0	0.385951374161711	0.927746449043443
TCGA-D9-A4Z5-01A-11R-A266-07	0.0567524116074905	0	0.0358274944544738	0.0272635505692756	0	0.104615083528011	0	0.0202228103102095	0.0278376457877584	0	0.0479859231679817	0	0.0269058352055647	0.271559928971003	0.0254610740305594	0.32895719138232	0	0	0	0.0210014622005035	0	0.00560958878484846	0	0.508491031974349	0.860624220866308
TCGA-WE-A8K4-01A-12R-A37K-07	0	0.0263815559916671	0.00195436218305222	0.368553513007471	0	0	0	0.201905522471441	0.121549360179994	0	0	0.0469313724831132	0.0216765824776012	0.0446601860735842	0.0978430098830617	0.0655182899361031	0.00100095435762108	0	0	0	0.00202529095529017	0	0	0.589521969216404	0.80781380037482
TCGA-D3-A8GK-06A-11R-A37K-07	0.0156291853001974	0	0.15729885556433	0.0579765859592196	0	0	0	0.10434271370702	0.015915576924121	0	0.0531733641748617	0	0	0.423133591667992	0.00266040042383884	0.158721921843001	0	0	0.00884840576005843	0	0.00229939867535873	0	0	0.393180959632231	0.930336876551332
TCGA-D3-A8GE-06A-11R-A37K-07	0.0768909403336271	0	0.0849460784089468	0.118245159572902	0	0.159147511915445	0	0.109098019727606	0.0616717456611165	0.0102879190770204	0	0	0.0052369091935346	0.0432623567066963	0.091531387202641	0.223858634395002	0	0	0.0158233378054631	0	0	0	0	0.429526136442086	0.902262128996419
TCGA-FS-A4F2-06A-11R-A24X-07	0.0180911865961399	0.0269731873477763	0.0410068673412457	0.00332829794278831	0	0.0419985068649485	0	0.0434355128319548	0.0173151681572476	0	0.0167070521497398	0.0173003693355997	0.048996327894284	0.313634087304744	0.00667236672651292	0.388104484190087	0.00103489779102449	0	0.0147208746783664	0	0	0.000680812847540306	0	0.605706865913927	0.796861789697118
TCGA-GN-A4U8-11A-11R-A32P-07	0.130653894904251	0.0806861232084357	0	0.236302157397212	0	0	0.0287663115894731	0.0817658342450707	0.0467335829477883	0	0.0186691690733896	0	0.00588517065609155	0.134158064865974	0.0862295857619839	0.138052020191956	0.000914402207844745	0	0.0111836829505294	0	0	0	0	0.853175518531215	0.661960643997681
