Estimate,CIlow,CIhigh,pval,pattern,plotcol
-0.37353859333835,-0.448591562598409,-0.293254079283314,4.14487112164324e-17,Pattern_1,red
0.428204719068899,0.351618888969804,0.499096821455495,1.63251673922703e-22,Pattern_2,red
-0.363710593972695,-0.439460491158484,-0.282824205792371,3.0646220541396e-16,Pattern_3,red
0.214167855668048,0.126448630721484,0.298563615114931,2.59952097341296e-06,Pattern_4,red
-0.215294824649247,-0.299639365900849,-0.1276110111301,2.29559045285687e-06,Pattern_5,red
-0.223113533268075,-0.30709683099193,-0.135682035741099,9.51177394557828e-07,Pattern_6,red
-0.519596098817585,-0.582469880717792,-0.450541851791565,4.59627099766266e-34,Pattern_7,red
-0.260010169457993,-0.342150122995899,-0.173926593940503,9.53032932482327e-09,Pattern_8,red
0.183177677321995,0.0945787969240327,0.268897601950916,6.14255774306714e-05,Pattern_9,red
-0.174890349833477,-0.26093672213058,-0.086086898283362,0.000131809057600342,Pattern_10,red
-0.133276122910428,-0.220784010291131,-0.0436396163659287,0.00368593523985143,Pattern_11,red
0.529540953540659,0.46140954489374,0.591463100166979,1.52056588822072e-35,Pattern_12,red
0.128644048649095,0.0389347466109431,0.216296195139411,0.00507755426819168,Pattern_13,red
-0.391546198609586,-0.465281646845602,-0.312414200085244,8.84663803155279e-19,Pattern_14,red
-0.226613139152801,-0.31043140845683,-0.139298340091253,6.34508548297873e-07,Pattern_15,red
0.324465903816887,0.241365963434298,0.402842002256922,4.66751386909073e-13,Pattern_16,red
0.403274625664236,0.324927984310118,0.476123845911329,6.33851722400212e-20,Pattern_17,red
0.61511546068905,0.555777639438176,0.66821744250817,1.41910093582246e-50,Pattern_18,red
-0.100982421201871,-0.18941872017408,-0.0109209598698452,0.0280899584921038,Pattern_19,red
-0.384262002957368,-0.458536705933695,-0.304656042005444,4.31598663113019e-18,Pattern_20,red
-0.00810825127047487,-0.0981973573858481,0.0821126699810914,0.860388912389147,Pattern_21,black
